Demand Forecasting - Seasonal Index,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Year,,,,,,,,,,,,
,Month,2020,2021,2022,2023,Average (2020-2023),Monthly Average,Seasonal Index,Next Year Avg,Next Year Monthly Forecast,,,Next Year Demand,Average
,1,284,236,358,597,369,789,0.47,1134,530,,Estimate,13604,1134
,2,159,239,306,363,267,789,0.34,1134,384,,,,
,3,585,515,579,885,641,789,0.81,1134,921,,,,
,4,536,543,635,733,612,789,0.78,1134,879,,,,
,5,466,575,863,887,698,789,0.88,1134,1003,,,,
,6,521,486,742,931,670,789,0.85,1134,962,,,,
,7,550,557,758,840,677,789,0.86,1134,972,,,,
,8,609,598,693,884,696,789,0.88,1134,1000,,,,
,9,1000,1086,1316,1660,1266,789,1.60,1134,1818,,,,
,10,573,631,767,1133,776,789,0.98,1134,1115,,,,
,11,1219,1310,1406,1840,1444,789,1.83,1134,2074,,,,
,12,1079,1203,1414,1723,1355,789,1.72,1134,1946,,,,
,,7581,7979,9837,12476,9471,,,,,,,,
