ABC Analysis,,,,,,,,,
,,,,,,,,,
,SKU,Total Sales,% Annual Value,Annual Cumulative Value,% Annual Cumulative Value,ABC Codes,,ABC Code,Items
,TEC-CO-10004722,61599.83,2.68%,61599.83,2.68%,A,,A,25
,OFF-BI-10003527,27453.38,1.20%,89053.21,3.88%,A,,B,255
,TEC-MA-10002412,22638.48,0.99%,111691.69,4.86%,A,,C,1582
,FUR-CH-10002024,21870.57,0.95%,133562.26,5.81%,A,,,
,OFF-BI-10001359,19823.48,0.86%,153385.74,6.68%,A,,,
,OFF-BI-10000545,19024.5,0.83%,172410.24,7.51%,A,,,
,TEC-CO-10001449,18839.68,0.82%,191249.92,8.33%,A,,,
,TEC-MA-10001127,18374.9,0.80%,209624.82,9.13%,A,,,
,OFF-BI-10004995,17965.07,0.78%,227589.89,9.91%,A,,,
,OFF-SU-10000151,17030.31,0.74%,244620.2,10.65%,A,,,
,TEC-MA-10000822,16829.9,0.73%,261450.1,11.38%,A,,,
,OFF-SU-10002881,16656.21,0.73%,278106.31,12.11%,A,,,
,OFF-BI-10001120,15875.92,0.69%,293982.23,12.80%,A,,,
,FUR-BO-10004834,15610.97,0.68%,309593.2,13.48%,A,,,
,TEC-MA-10001047,14299.89,0.62%,323893.09,14.10%,A,,,
,TEC-PH-10001459,13943.67,0.61%,337836.76,14.71%,A,,,
,TEC-AC-10002049,13756.54,0.60%,351593.3,15.31%,A,,,
,TEC-PH-10002885,12996.6,0.57%,364589.9,15.87%,A,,,
,FUR-TA-10003473,12995.28,0.57%,377585.18,16.44%,A,,,
,FUR-CH-10001215,12975.39,0.56%,390560.57,17.00%,A,,,
,FUR-BO-10002213,12921.64,0.56%,403482.21,17.56%,A,,,
,TEC-CO-10003763,11619.83,0.51%,415102.04,18.07%,A,,,
,FUR-CH-10004287,11572.78,0.50%,426674.82,18.57%,A,,,
,OFF-AP-10002945,11304.44,0.49%,437979.26,19.07%,A,,,
,TEC-AC-10003832,11203.76,0.49%,449183.02,19.55%,A,,,
,TEC-MA-10000418,11099.96,0.48%,460282.98,20.04%,B,,,
,OFF-ST-10000078,10925,0.48%,471207.98,20.51%,B,,,
,TEC-AC-10003033,10822.36,0.47%,482030.34,20.98%,B,,,
,FUR-CH-10000454,10637.53,0.46%,492667.87,21.45%,B,,,
,FUR-TA-10000198,9917.64,0.43%,502585.51,21.88%,B,,,
,OFF-ST-10003716,9630.86,0.42%,512216.37,22.30%,B,,,
,FUR-TA-10001889,9544.72,0.42%,521761.09,22.71%,B,,,
,TEC-MA-10000488,9279.89,0.40%,531040.98,23.12%,B,,,
,OFF-ST-10004459,9158.29,0.40%,540199.27,23.52%,B,,,
,FUR-CH-10003973,9070.93,0.39%,549270.2,23.91%,B,,,
,TEC-CO-10001046,8959.87,0.39%,558230.07,24.30%,B,,,
,TEC-CO-10002095,8899.82,0.39%,567129.89,24.69%,B,,,
,TEC-PH-10001817,8878.4,0.39%,576008.29,25.07%,B,,,
,FUR-CH-10001854,8774.5,0.38%,584782.79,25.46%,B,,,
,FUR-CH-10004063,8665.21,0.38%,593448,25.83%,B,,,
,FUR-CH-10004086,8431,0.37%,601879,26.20%,B,,,
,FUR-TA-10001095,8209.07,0.36%,610088.07,26.56%,B,,,
,OFF-ST-10001490,8138.24,0.35%,618226.31,26.91%,B,,,
,TEC-PH-10001530,8111.15,0.35%,626337.46,27.27%,B,,,
,OFF-BI-10003925,8070.2,0.35%,634407.66,27.62%,B,,,
,TEC-MA-10004125,7999.98,0.35%,642407.64,27.96%,B,,,
,OFF-BI-10004600,7985.38,0.35%,650393.02,28.31%,B,,,
,FUR-CH-10003379,7979.43,0.35%,658372.45,28.66%,B,,,
,TEC-MA-10000984,7834.4,0.34%,666206.85,29.00%,B,,,
,OFF-ST-10003208,7730.19,0.34%,673937.04,29.34%,B,,,
,TEC-MA-10003979,7699.89,0.34%,681636.93,29.67%,B,,,
,TEC-PH-10004165,7699.73,0.34%,689336.66,30.01%,B,,,
,FUR-CH-10002331,7582.38,0.33%,696919.04,30.34%,B,,,
,FUR-BO-10002545,7539.71,0.33%,704458.75,30.67%,B,,,
,OFF-ST-10001780,7515.52,0.33%,711974.27,30.99%,B,,,
,TEC-PH-10002200,7437.88,0.32%,719412.15,31.32%,B,,,
